minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
7,0.8640000152587891,0.47700000762939454,Luis Díaz,Head,MissedShots,Bayern Munich,Werder Bremen,Sacha Boey,0.026412157341837883
8,0.5709999847412109,0.115,Michael Olise,LeftFoot,SavedShot,Bayern Munich,Werder Bremen,Dayotchanculle Upamecano,0.008207477629184723
15,0.75,0.37,Leon Goretzka,RightFoot,BlockedShot,Bayern Munich,Werder Bremen,,0.018147943541407585
21,0.9130000305175782,0.4979999923706055,Jonathan Tah,RightFoot,Goal,Bayern Munich,Werder Bremen,Michael Olise,0.09066862612962723
25,0.88,0.6329999923706054,Harry Kane,LeftFoot,SavedShot,Bayern Munich,Werder Bremen,Leon Goretzka,0.10024191439151764
37,0.8159999847412109,0.49599998474121093,Tom Bischof,LeftFoot,BlockedShot,Bayern Munich,Werder Bremen,,0.07089948654174805
38,0.960999984741211,0.4929999923706055,Harry Kane,RightFoot,BlockedShot,Bayern Munich,Werder Bremen,Leon Goretzka,0.7798081040382385
40,0.7719999694824219,0.27299999237060546,Michael Olise,LeftFoot,SavedShot,Bayern Munich,Werder Bremen,Tom Bischof,0.024591464549303055
44,0.885,0.5,Harry Kane,RightFoot,Goal,Bayern Munich,Werder Bremen,,0.75777667760849
46,0.735999984741211,0.34299999237060547,Serge Gnabry,RightFoot,SavedShot,Bayern Munich,Werder Bremen,Konrad Laimer,0.02463690936565399
53,0.7140000152587891,0.49200000762939455,Serge Gnabry,RightFoot,MissedShots,Bayern Munich,Werder Bremen,Harry Kane,0.01588713936507702
60,0.8119999694824219,0.34299999237060547,Michael Olise,LeftFoot,MissedShots,Bayern Munich,Werder Bremen,Tom Bischof,0.04103138670325279
62,0.874000015258789,0.36400001525878906,Sacha Boey,RightFoot,BlockedShot,Bayern Munich,Werder Bremen,Michael Olise,0.10008940100669861
64,0.830999984741211,0.6930000305175781,Luis Díaz,RightFoot,MissedShots,Bayern Munich,Werder Bremen,Konrad Laimer,0.05168033018708229
64,0.895,0.4859999847412109,Harry Kane,RightFoot,Goal,Bayern Munich,Werder Bremen,Luis Díaz,0.4797327518463135
73,0.8519999694824218,0.6669999694824219,Luis Díaz,RightFoot,MissedShots,Bayern Munich,Werder Bremen,Konrad Laimer,0.06773943454027176
76,0.8580000305175781,0.22600000381469726,Michael Olise,LeftFoot,BlockedShot,Bayern Munich,Werder Bremen,Sacha Boey,0.024570420384407043
76,0.9330000305175781,0.40900001525878904,Michael Olise,RightFoot,SavedShot,Bayern Munich,Werder Bremen,Raphael Guerreiro,0.4968714714050293
82,0.8440000152587891,0.37799999237060544,Nicolas Jackson,RightFoot,SavedShot,Bayern Munich,Werder Bremen,Luis Díaz,0.2631548047065735
82,0.8530000305175781,0.514000015258789,Raphael Guerreiro,LeftFoot,BlockedShot,Bayern Munich,Werder Bremen,Konrad Laimer,0.12661905586719513
86,0.7919999694824219,0.5259999847412109,Tom Bischof,LeftFoot,BlockedShot,Bayern Munich,Werder Bremen,Nicolas Jackson,0.05902184173464775
86,0.955,0.615,Konrad Laimer,LeftFoot,Goal,Bayern Munich,Werder Bremen,Tom Bischof,0.3946045935153961
91,0.9009999847412109,0.7080000305175781,Wisdom Mike,LeftFoot,SavedShot,Bayern Munich,Werder Bremen,Konrad Laimer,0.07564214617013931
92,0.8019999694824219,0.7269999694824218,Wisdom Mike,RightFoot,MissedShots,Bayern Munich,Werder Bremen,Raphael Guerreiro,0.02920498698949814
0,0.950999984741211,0.54,Luis Díaz,LeftFoot,Goal,Eintracht Frankfurt,Bayern Munich,Serge Gnabry,0.5539280772209167
26,0.794000015258789,0.35400001525878905,Harry Kane,RightFoot,Goal,Eintracht Frankfurt,Bayern Munich,Luis Díaz,0.03959836810827255
30,0.89,0.6830000305175781,Luis Díaz,RightFoot,MissedShots,Eintracht Frankfurt,Bayern Munich,Konrad Laimer,0.07826965302228928
43,0.82,0.2610000038146973,Serge Gnabry,RightFoot,MissedShots,Eintracht Frankfurt,Bayern Munich,Michael Olise,0.03165970742702484
49,0.8640000152587891,0.4829999923706055,Serge Gnabry,RightFoot,MissedShots,Eintracht Frankfurt,Bayern Munich,Luis Díaz,0.3671952784061432
53,0.889000015258789,0.5520000076293945,Serge Gnabry,LeftFoot,BlockedShot,Eintracht Frankfurt,Bayern Munich,,0.11040918529033661
54,0.9209999847412109,0.47299999237060547,Dayotchanculle Upamecano,RightFoot,MissedShots,Eintracht Frankfurt,Bayern Munich,,0.06620890647172928
54,0.9569999694824218,0.580999984741211,Harry Kane,RightFoot,ShotOnPost,Eintracht Frankfurt,Bayern Munich,Dayotchanculle Upamecano,0.4639088809490204
60,0.8419999694824218,0.55,Serge Gnabry,LeftFoot,BlockedShot,Eintracht Frankfurt,Bayern Munich,Luis Díaz,0.11177699267864227
63,0.754000015258789,0.5670000076293945,Joshua Kimmich,RightFoot,BlockedShot,Eintracht Frankfurt,Bayern Munich,Harry Kane,0.025384221225976944
83,0.9330000305175781,0.6719999694824219,Luis Díaz,LeftFoot,Goal,Eintracht Frankfurt,Bayern Munich,Raphael Guerreiro,0.40149012207984924
92,0.924000015258789,0.669000015258789,Jonathan Tah,Head,BlockedShot,Eintracht Frankfurt,Bayern Munich,Michael Olise,0.010985353030264378
3,0.6880000305175781,0.37599998474121094,Joshua Kimmich,RightFoot,SavedShot,Bayern Munich,Borussia Dortmund,Nicolas Jackson,0.01272410899400711
10,0.845999984741211,0.2720000076293945,Michael Olise,LeftFoot,SavedShot,Bayern Munich,Borussia Dortmund,Konrad Laimer,0.02993677370250225
10,0.93,0.654000015258789,Luis Díaz,RightFoot,SavedShot,Bayern Munich,Borussia Dortmund,,0.2979396879673004
21,0.9580000305175781,0.5379999923706055,Harry Kane,Head,Goal,Bayern Munich,Borussia Dortmund,Joshua Kimmich,0.480851411819458
29,0.8059999847412109,0.6270000076293946,Luis Díaz,RightFoot,BlockedShot,Bayern Munich,Borussia Dortmund,Nicolas Jackson,0.050592079758644104
31,0.8580000305175781,0.33299999237060546,Sacha Boey,RightFoot,MissedShots,Bayern Munich,Borussia Dortmund,Michael Olise,0.06890552490949631
34,0.855999984741211,0.725999984741211,Harry Kane,RightFoot,MissedShots,Bayern Munich,Borussia Dortmund,Nicolas Jackson,0.039269935339689255
35,0.8109999847412109,0.4809999847412109,Michael Olise,LeftFoot,ShotOnPost,Bayern Munich,Borussia Dortmund,Aleksandar Pavlovic,0.08055847883224487
39,0.8640000152587891,0.5929999923706055,Luis Díaz,RightFoot,BlockedShot,Bayern Munich,Borussia Dortmund,Michael Olise,0.13013078272342682
39,0.840999984741211,0.519000015258789,Joshua Kimmich,RightFoot,SavedShot,Bayern Munich,Borussia Dortmund,,0.13445979356765747
41,0.9380000305175781,0.6459999847412109,Dayotchanculle Upamecano,Head,MissedShots,Bayern Munich,Borussia Dortmund,Joshua Kimmich,0.01703755185008049
67,0.9080000305175782,0.3679999923706055,Michael Olise,LeftFoot,BlockedShot,Bayern Munich,Borussia Dortmund,Harry Kane,0.08544689416885376
67,0.9230000305175782,0.33599998474121096,Michael Olise,RightFoot,MissedShots,Bayern Munich,Borussia Dortmund,Sacha Boey,0.0974746122956276
77,0.9890000152587891,0.5,Michael Olise,LeftFoot,Goal,Bayern Munich,Borussia Dortmund,,0.9547781348228455
94,0.8619999694824219,0.539000015258789,Luis Díaz,RightFoot,SavedShot,Bayern Munich,Borussia Dortmund,Michael Olise,0.3662513494491577
0,0.8909999847412109,0.5070000076293946,Luis Díaz,LeftFoot,MissedShots,Borussia M.Gladbach,Bayern Munich,Nicolas Jackson,0.44172748923301697
21,0.8680000305175781,0.44599998474121094,Harry Kane,Head,BlockedShot,Borussia M.Gladbach,Bayern Munich,Joshua Kimmich,0.010966001078486443
30,0.7319999694824219,0.4420000076293945,Dayotchanculle Upamecano,RightFoot,MissedShots,Borussia M.Gladbach,Bayern Munich,Luis Díaz,0.018840227276086807
33,0.8569999694824219,0.74,Luis Díaz,RightFoot,MissedShots,Borussia M.Gladbach,Bayern Munich,Leon Goretzka,0.030040372163057327
36,0.7480000305175781,0.3509999847412109,Sacha Boey,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,Joshua Kimmich,0.017899826169013977
41,0.8580000305175781,0.5,Harry Kane,RightFoot,SavedShot,Borussia M.Gladbach,Bayern Munich,Luis Díaz,0.10170124471187592
44,0.7709999847412109,0.649000015258789,Tom Bischof,LeftFoot,SavedShot,Borussia M.Gladbach,Bayern Munich,Leon Goretzka,0.023534560576081276
47,0.8019999694824219,0.44099998474121094,Michael Olise,LeftFoot,MissedShots,Borussia M.Gladbach,Bayern Munich,Harry Kane,0.03983764350414276
48,0.8019999694824219,0.46700000762939453,Joshua Kimmich,RightFoot,MissedShots,Borussia M.Gladbach,Bayern Munich,,0.04613018035888672
49,0.8869999694824219,0.4379999923706055,Michael Olise,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,,0.09674239158630371
49,0.8919999694824219,0.445,Michael Olise,LeftFoot,SavedShot,Borussia M.Gladbach,Bayern Munich,,0.10958363115787506
49,0.7819999694824219,0.705,Luis Díaz,RightFoot,SavedShot,Borussia M.Gladbach,Bayern Munich,Tom Bischof,0.0219547301530838
52,0.8130000305175781,0.524000015258789,Harry Kane,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,Tom Bischof,0.06249193102121353
58,0.895,0.44400001525878907,Harry Kane,Head,BlockedShot,Borussia M.Gladbach,Bayern Munich,Michael Olise,0.03218616917729378
59,0.8540000152587891,0.6459999847412109,Luis Díaz,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,Tom Bischof,0.052614741027355194
59,0.7969999694824219,0.45599998474121095,Luis Díaz,RightFoot,SavedShot,Borussia M.Gladbach,Bayern Munich,Raphael Guerreiro,0.0461907684803009
60,0.8859999847412109,0.43400001525878906,Joshua Kimmich,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,,0.08265981078147888
63,0.865999984741211,0.47299999237060547,Joshua Kimmich,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,Serge Gnabry,0.11012755334377289
63,0.8680000305175781,0.49200000762939455,Joshua Kimmich,LeftFoot,Goal,Borussia M.Gladbach,Bayern Munich,,0.09155289828777313
66,0.7390000152587891,0.5579999923706055,Tom Bischof,LeftFoot,MissedShots,Borussia M.Gladbach,Bayern Munich,Michael Olise,0.025115391239523888
67,0.860999984741211,0.7469999694824219,Harry Kane,RightFoot,BlockedShot,Borussia M.Gladbach,Bayern Munich,Luis Díaz,0.03524204343557358
68,0.9069999694824219,0.47,Raphael Guerreiro,LeftFoot,Goal,Borussia M.Gladbach,Bayern Munich,Michael Olise,0.4900231957435608
80,0.779000015258789,0.40299999237060546,Lennart Karl,LeftFoot,Goal,Borussia M.Gladbach,Bayern Munich,Raphael Guerreiro,0.04140365123748779
84,0.9230000305175782,0.5109999847412109,Lennart Karl,Head,SavedShot,Borussia M.Gladbach,Bayern Munich,Leon Goretzka,0.38353413343429565
