minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
2,0.855999984741211,0.5470000076293945,Ezequiél Fernández,LeftFoot,BlockedShot,Mainz 05,Bayer Leverkusen,Aleix García,0.02838592417538166
7,0.850999984741211,0.3579999923706055,Jonas Hofmann,RightFoot,SavedShot,Mainz 05,Bayer Leverkusen,Ernest Poku,0.09580157697200775
10,0.885,0.5,Álex Grimaldo,LeftFoot,Goal,Mainz 05,Bayer Leverkusen,,0.75777667760849
15,0.855999984741211,0.48900001525878906,Christian Kofane,LeftFoot,SavedShot,Mainz 05,Bayer Leverkusen,Ernest Poku,0.11244864761829376
17,0.7040000152587891,0.46900001525878904,Edmond Tapsoba,RightFoot,MissedShots,Mainz 05,Bayer Leverkusen,Álex Grimaldo,0.017769593745470047
22,0.8430000305175781,0.4620000076293945,Christian Kofane,LeftFoot,SavedShot,Mainz 05,Bayer Leverkusen,Ezequiél Fernández,0.3635501563549042
23,0.8590000152587891,0.41700000762939454,Christian Kofane,RightFoot,Goal,Mainz 05,Bayer Leverkusen,Ernest Poku,0.09181296080350876
31,0.9280000305175782,0.4,Robert Andrich,Head,BlockedShot,Mainz 05,Bayer Leverkusen,Álex Grimaldo,0.016795575618743896
33,0.830999984741211,0.5279999923706055,Ernest Poku,LeftFoot,BlockedShot,Mainz 05,Bayer Leverkusen,Christian Kofane,0.08833042532205582
38,0.789000015258789,0.64,Álex Grimaldo,LeftFoot,MissedShots,Mainz 05,Bayer Leverkusen,,0.08376289904117584
47,0.860999984741211,0.54,Álex Grimaldo,LeftFoot,Goal,Mainz 05,Bayer Leverkusen,Jonas Hofmann,0.3708471953868866
45,0.845,0.6509999847412109,Álex Grimaldo,LeftFoot,MissedShots,Mainz 05,Bayer Leverkusen,,0.07246984541416168
54,0.909000015258789,0.24700000762939453,Arthur,RightFoot,BlockedShot,Mainz 05,Bayer Leverkusen,Christian Kofane,0.05505449324846268
58,0.904000015258789,0.615999984741211,Christian Kofane,LeftFoot,MissedShots,Mainz 05,Bayer Leverkusen,Ernest Poku,0.10636520385742188
59,0.8769999694824219,0.624000015258789,Christian Kofane,LeftFoot,MissedShots,Mainz 05,Bayer Leverkusen,Álex Grimaldo,0.4714307487010956
74,0.9309999847412109,0.675,Ernest Poku,LeftFoot,BlockedShot,Mainz 05,Bayer Leverkusen,Christian Kofane,0.093067966401577
86,0.9080000305175782,0.5709999847412109,Ibrahim Maza,RightFoot,BlockedShot,Mainz 05,Bayer Leverkusen,Ben Seghir,0.1367746889591217
86,0.9269999694824219,0.5159999847412109,Martin Terrier,RightFoot,Goal,Mainz 05,Bayer Leverkusen,,0.5520620942115784
89,0.889000015258789,0.590999984741211,Martin Terrier,RightFoot,MissedShots,Mainz 05,Bayer Leverkusen,Ibrahim Maza,0.39729368686676025
92,0.9080000305175782,0.549000015258789,Aleix García,RightFoot,BlockedShot,Mainz 05,Bayer Leverkusen,Ben Seghir,0.598331093788147
5,0.9530000305175781,0.5520000076293945,Christian Kofane,Head,MissedShots,Bayer Leverkusen,Freiburg,Arthur,0.5118499398231506
16,0.7390000152587891,0.29600000381469727,Álex Grimaldo,LeftFoot,SavedShot,Bayer Leverkusen,Freiburg,,0.041633810847997665
19,0.735,0.63,Álex Grimaldo,LeftFoot,BlockedShot,Bayer Leverkusen,Freiburg,Aleix García,0.019687306135892868
19,0.6619999694824219,0.465,Loic Bade,RightFoot,MissedShots,Bayer Leverkusen,Freiburg,Aleix García,0.01125908549875021
21,0.7559999847412109,0.5470000076293945,Ernest Poku,RightFoot,Goal,Bayer Leverkusen,Freiburg,Aleix García,0.04385773092508316
36,0.8809999847412109,0.49,Christian Kofane,Head,BlockedShot,Bayer Leverkusen,Freiburg,Aleix García,0.037106726318597794
47,0.765,0.5640000152587891,Aleix García,RightFoot,MissedShots,Bayer Leverkusen,Freiburg,Ezequiél Fernández,0.02992779016494751
50,0.8630000305175781,0.505,Jonas Hofmann,LeftFoot,BlockedShot,Bayer Leverkusen,Freiburg,Ernest Poku,0.11246130615472794
50,0.9080000305175782,0.4159999847412109,Christian Kofane,RightFoot,BlockedShot,Bayer Leverkusen,Freiburg,,0.1284124255180359
51,0.9569999694824218,0.52,Edmond Tapsoba,Head,Goal,Bayer Leverkusen,Freiburg,Álex Grimaldo,0.4794439673423767
53,0.8630000305175781,0.6530000305175782,Ernest Poku,LeftFoot,SavedShot,Bayer Leverkusen,Freiburg,Aleix García,0.2966955900192261
53,0.8619999694824219,0.47099998474121096,Arthur,RightFoot,MissedShots,Bayer Leverkusen,Freiburg,,0.37363556027412415
57,0.85,0.5770000076293945,Christian Kofane,RightFoot,MissedShots,Bayer Leverkusen,Freiburg,Álex Grimaldo,0.14459684491157532
74,0.8219999694824218,0.4,Aleix García,RightFoot,BlockedShot,Bayer Leverkusen,Freiburg,Álex Grimaldo,0.04209185019135475
75,0.730999984741211,0.509000015258789,Álex Grimaldo,LeftFoot,MissedShots,Bayer Leverkusen,Freiburg,Jarell Quansah,0.019802743569016457
87,0.904000015258789,0.345,Ibrahim Maza,RightFoot,MissedShots,Bayer Leverkusen,Freiburg,Jeanuël Belocian,0.1038648784160614
90,0.78,0.44,Ibrahim Maza,LeftFoot,MissedShots,Bayer Leverkusen,Freiburg,Álex Grimaldo,0.04983227699995041
93,0.7569999694824219,0.6090000152587891,Ben Seghir,LeftFoot,BlockedShot,Bayer Leverkusen,Freiburg,Aleix García,0.024417100474238396
93,0.9009999847412109,0.4929999923706055,Arthur,LeftFoot,BlockedShot,Bayer Leverkusen,Freiburg,,0.12258651107549667
6,0.705999984741211,0.575,Edmond Tapsoba,RightFoot,MissedShots,Bayern Munich,Bayer Leverkusen,,0.013202599249780178
32,0.9009999847412109,0.5259999847412109,Patrik Schick,LeftFoot,MissedShots,Bayern Munich,Bayer Leverkusen,Ernest Poku,0.11651723086833954
42,0.049000000953674315,0.44299999237060544,Loic Bade,RightFoot,OwnGoal,Bayern Munich,Bayer Leverkusen,,0
73,0.8519999694824218,0.6580000305175782,Martin Terrier,RightFoot,BlockedShot,Bayern Munich,Bayer Leverkusen,Robert Andrich,0.05134280398488045
73,0.925,0.3340000152587891,Christian Kofane,RightFoot,MissedShots,Bayern Munich,Bayer Leverkusen,Martin Terrier,0.08711323142051697
80,0.924000015258789,0.28299999237060547,Christian Kofane,RightFoot,SavedShot,Bayern Munich,Bayer Leverkusen,Robert Andrich,0.04329035431146622
83,0.3139999961853027,0.17899999618530274,Arthur,RightFoot,MissedShots,Bayern Munich,Bayer Leverkusen,Robert Andrich,0.007581687066704035
87,0.8619999694824219,0.3579999923706055,Christian Kofane,RightFoot,BlockedShot,Bayern Munich,Bayer Leverkusen,Jonas Hofmann,0.0637257993221283
1,0.92,0.6559999847412109,Patrik Schick,LeftFoot,Goal,Bayer Leverkusen,FC Heidenheim,Ernest Poku,0.31386080384254456
3,0.914000015258789,0.6619999694824219,Patrik Schick,LeftFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Álex Grimaldo,0.08990447968244553
4,0.8919999694824219,0.8230000305175781,Aleix García,RightFoot,MissedShots,Bayer Leverkusen,FC Heidenheim,Álex Grimaldo,0.0324881449341774
11,0.700999984741211,0.40700000762939453,Jonas Hofmann,RightFoot,SavedShot,Bayer Leverkusen,FC Heidenheim,Ernest Poku,0.018100233748555183
15,0.9119999694824219,0.445,Jonas Hofmann,Head,Goal,Bayer Leverkusen,FC Heidenheim,Edmond Tapsoba,0.27108731865882874
21,0.9890000152587891,0.514000015258789,Patrik Schick,LeftFoot,Goal,Bayer Leverkusen,FC Heidenheim,,0.9688048958778381
26,0.914000015258789,0.46799999237060547,Ernest Poku,RightFoot,Goal,Bayer Leverkusen,FC Heidenheim,Arthur,0.13689067959785461
29,0.79,0.5529999923706055,Jonas Hofmann,RightFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Álex Grimaldo,0.04331233724951744
30,0.78,0.3220000076293945,Jonas Hofmann,LeftFoot,SavedShot,Bayer Leverkusen,FC Heidenheim,Patrik Schick,0.025233695283532143
33,0.9319999694824219,0.30200000762939455,Ibrahim Maza,RightFoot,MissedShots,Bayer Leverkusen,FC Heidenheim,Robert Andrich,0.07225748151540756
36,0.7090000152587891,0.4979999923706055,Aleix García,RightFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,,0.044280145317316055
45,0.9019999694824219,0.4779999923706055,Ibrahim Maza,RightFoot,Goal,Bayer Leverkusen,FC Heidenheim,Aleix García,0.4018312692642212
46,0.9030000305175782,0.44,Patrik Schick,LeftFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Ibrahim Maza,0.12898993492126465
48,0.8519999694824218,0.3220000076293945,Martin Terrier,RightFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Aleix García,0.06492583453655243
52,0.8930000305175781,0.5990000152587891,Ibrahim Maza,RightFoot,Goal,Bayer Leverkusen,FC Heidenheim,Edmond Tapsoba,0.489800363779068
54,0.8680000305175781,0.605,Ibrahim Maza,LeftFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Martin Terrier,0.10206876695156097
56,0.9069999694824219,0.6430000305175781,Malik Tillman,Head,MissedShots,Bayer Leverkusen,FC Heidenheim,Álex Grimaldo,0.010947903618216515
56,0.7119999694824218,0.7280000305175781,Aleix García,RightFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Malik Tillman,0.013727808371186256
72,0.75,0.3679999923706055,Robert Andrich,LeftFoot,SavedShot,Bayer Leverkusen,FC Heidenheim,Martin Terrier,0.020761268213391304
72,0.7340000152587891,0.615,Álex Grimaldo,LeftFoot,BlockedShot,Bayer Leverkusen,FC Heidenheim,Alejo Sarco,0.01954268477857113
77,0.914000015258789,0.545,Loic Bade,Head,MissedShots,Bayer Leverkusen,FC Heidenheim,Álex Grimaldo,0.030865758657455444
80,0.875,0.5,Álex Grimaldo,LeftFoot,SavedShot,Bayer Leverkusen,FC Heidenheim,,0.4826013445854187
